"_","Name","UniqueExternalId__c","ExternalId__c","SourceSystemExternalId__c","Location__r","IsActive__c","SetupValueTypeIndexed__c","Location__r.UniqueExternalId__c"
"[SetupValue__c]","Individual Pays Own","","","","","true","BillingInformation",""
"[SetupValue__c]","Bill to Master","","","","","true","BillingInformation",""
"[SetupValue__c]","Citywide","","","","","true","BookingType",""
"[SetupValue__c]","Meeting","","","","","true","BookingType",""
"[SetupValue__c]","Social","","","","","true","BookingType",""
"[SetupValue__c]","Wedding","","","","","true","BookingType",""
"[SetupValue__c]","Tournament","","","","","true","BookingType",""
"[SetupValue__c]","In-House","","","","","true","BookingType",""
"[SetupValue__c]","Conference","","","","","true","BookingType",""
"[SetupValue__c]","Incentive","","","","","true","BookingType",""
"[SetupValue__c]","Tour","","","","","true","BookingType",""
"[SetupValue__c]","Overflow","","","","","true","BookingType",""
"[SetupValue__c]","Added Menu/Item","","","","","true","ChangeLogType",""
"[SetupValue__c]","Deleted Menu/Item","","","","","true","ChangeLogType",""
"[SetupValue__c]","Time Change","","","","","true","ChangeLogType",""
"[SetupValue__c]","Setup Change","","","","","true","ChangeLogType",""
"[SetupValue__c]","Pop-up Menu","","","","","true","ChangeLogType",""
"[SetupValue__c]","Revised Menu","","","","","true","ChangeLogType",""
"[SetupValue__c]","Attendance","","","","","true","ChangeLogType",""
"[SetupValue__c]","Circle of Chairs","","","","","true","FunctionRoomSetup",""
"[SetupValue__c]","Classroom 2 per table","","","","","true","FunctionRoomSetup",""
"[SetupValue__c]","Classroom 3 per table","","","","","true","FunctionRoomSetup",""
"[SetupValue__c]","Cocktail Rounds","","","","","true","FunctionRoomSetup",""
"[SetupValue__c]","Conference/Boardroom","","","","","true","FunctionRoomSetup",""
"[SetupValue__c]","Crescent Rounds","","","","","true","FunctionRoomSetup",""
"[SetupValue__c]","Empty Room","","","","","true","FunctionRoomSetup",""
"[SetupValue__c]","Existing","","","","","true","FunctionRoomSetup",""
"[SetupValue__c]","Flow","","","","","true","FunctionRoomSetup",""
"[SetupValue__c]","Hollow Square","","","","","true","FunctionRoomSetup",""
"[SetupValue__c]","Lounge","","","","","true","FunctionRoomSetup",""
"[SetupValue__c]","Registration","","","","","true","FunctionRoomSetup",""
"[SetupValue__c]","Rounds of 10","","","","","true","FunctionRoomSetup",""
"[SetupValue__c]","Rounds of 12","","","","","true","FunctionRoomSetup",""
"[SetupValue__c]","Rounds of 6","","","","","true","FunctionRoomSetup",""
"[SetupValue__c]","Rounds of 8","","","","","true","FunctionRoomSetup",""
"[SetupValue__c]","See Diagram","","","","","true","FunctionRoomSetup",""
"[SetupValue__c]","U-Shape","","","","","true","FunctionRoomSetup",""
"[SetupValue__c]","Individual Call-In","","","","","true","HousingMethod",""
"[SetupValue__c]","Internet","","","","","true","HousingMethod",""
"[SetupValue__c]","Rooming List","","","","","true","HousingMethod",""
"[SetupValue__c]","Shopping","","","","","true","InquiryRating",""
"[SetupValue__c]","Interested","","","","","true","InquiryRating",""
"[SetupValue__c]","Likely to Book","","","","","true","InquiryRating",""
"[SetupValue__c]","Breakfast","","","","","true","ItemCategory",""
"[SetupValue__c]","Lunch","","","","","true","ItemCategory",""
"[SetupValue__c]","Dinner","","","","","true","ItemCategory",""
"[SetupValue__c]","Breaks","","","","","true","ItemCategory",""
"[SetupValue__c]","Reception","","","","","true","ItemCategory",""
"[SetupValue__c]","Cash Bar","","","","","true","ItemCategory",""
"[SetupValue__c]","Hosted Bar","","","","","true","ItemCategory",""
"[SetupValue__c]","Client Referral","","","","","true","LeadSource",""
"[SetupValue__c]","Cold Call","","","","","true","LeadSource",""
"[SetupValue__c]","Convention & Visitors Bureau","","","","","true","LeadSource",""
"[SetupValue__c]","Cvent","","","","","true","LeadSource",""
"[SetupValue__c]","Destination Management Company","","","","","true","LeadSource",""
"[SetupValue__c]","Direct Marketing","","","","","true","LeadSource",""
"[SetupValue__c]","Hotel Referral","","","","","true","LeadSource",""
"[SetupValue__c]","Inquiry","","","","","true","LeadSource",""
"[SetupValue__c]","National Sales Office","","","","","true","LeadSource",""
"[SetupValue__c]","Personal Office Visit","","","","","true","LeadSource",""
"[SetupValue__c]","Repeat Business","","","","","true","LeadSource",""
"[SetupValue__c]","Sales Blitz","","","","","true","LeadSource",""
"[SetupValue__c]","Social Media","","","","","true","LeadSource",""
"[SetupValue__c]","Solicitation","","","","","true","LeadSource",""
"[SetupValue__c]","Lanyon/Starcite","","","","","true","LeadSource",""
"[SetupValue__c]","Third Party","","","","","true","LeadSource",""
"[SetupValue__c]","Trade Show","","","","","true","LeadSource",""
"[SetupValue__c]","Walk In","","","","","true","LeadSource",""
"[SetupValue__c]","Website","","","","","true","LeadSource",""
"[SetupValue__c]","Dates Changed","","","","","true","BookingStatusReason",""
"[SetupValue__c]","Disaster","","","","","true","BookingStatusReason",""
"[SetupValue__c]","Entry Error","","","","","true","BookingStatusReason",""
"[SetupValue__c]","Function Space Unavailable","","","","","true","BookingStatusReason",""
"[SetupValue__c]","Guest Room Pattern Unacceptable","","","","","true","BookingStatusReason",""
"[SetupValue__c]","Guest Rooms Unavailable","","","","","true","BookingStatusReason",""
"[SetupValue__c]","Lead Did Not Materialize","","","","","true","BookingStatusReason",""
"[SetupValue__c]","No Reason Provided","","","","","true","BookingStatusReason",""
"[SetupValue__c]","No Response","","","","","true","BookingStatusReason",""
"[SetupValue__c]","Other See Notes","","","","","true","BookingStatusReason",""
"[SetupValue__c]","Rates Too High","","","","","true","BookingStatusReason",""
"[SetupValue__c]","Selected Another City","","","","","true","BookingStatusReason",""
"[SetupValue__c]","Selected Another Facility","","","","","true","BookingStatusReason",""
"[SetupValue__c]","Group Size Guestrooms","","","","","true","BookingStatusReason",""
"[SetupValue__c]","Group Size Function Space","","","","","true","BookingStatusReason",""
"[SetupValue__c]","Contract Terms","","","","","true","BookingStatusReason",""
"[SetupValue__c]","Amenities","","","","","true","BookingStatusReason",""
"[SetupValue__c]","Renovation","","","","","true","BookingStatusReason",""
"[SetupValue__c]","Competitor In-House","","","","","true","BookingStatusReason",""
"[SetupValue__c]","Credit Not Approved","","","","","true","BookingStatusReason",""
"[SetupValue__c]","Previous Experience","","","","","true","BookingStatusReason",""
"[SetupValue__c]","AUTO: Turndown","","","","","true","BookingStatusReason",""
"[SetupValue__c]","Entry Error","","","","","true","VolumeContractStatusReason",""
"[SetupValue__c]","Guest Room Pattern Unacceptable","","","","","true","VolumeContractStatusReason",""
"[SetupValue__c]","Lead Did Not Materialize","","","","","true","VolumeContractStatusReason",""
"[SetupValue__c]","No Reason Provided","","","","","true","VolumeContractStatusReason",""
"[SetupValue__c]","Other See Notes","","","","","true","VolumeContractStatusReason",""
"[SetupValue__c]","Rates Too High","","","","","true","VolumeContractStatusReason",""
"[SetupValue__c]","Selected Another Facility","","","","","true","VolumeContractStatusReason",""
"[SetupValue__c]","Airline Crew","","","","","true","VolumeContractType",""
"[SetupValue__c]","Athletic Team","","","","","true","VolumeContractType",""
"[SetupValue__c]","Business Travel","","","","","true","VolumeContractType",""
"[SetupValue__c]","Corporate","","","","","true","VolumeContractType",""
"[SetupValue__c]","Extended Stay","","","","","true","VolumeContractType",""
"[SetupValue__c]","Negotiated Rate","","","","","true","VolumeContractType",""
"[SetupValue__c]","Association","","","","","true","MarketSegment",""
"[SetupValue__c]","Corporate","","","","","true","MarketSegment",""
"[SetupValue__c]","Government","","","","","true","MarketSegment",""
"[SetupValue__c]","In House","","","","","true","MarketSegment",""
"[SetupValue__c]","SMERF","","","","","true","MarketSegment",""
"[SetupValue__c]","Tour & Travel","","","","","true","MarketSegment",""
"[SetupValue__c]","US Midwest","","","","","true","Region",""
"[SetupValue__c]","US Northeast","","","","","true","Region",""
"[SetupValue__c]","US Northwest","","","","","true","Region",""
"[SetupValue__c]","US Southeast","","","","","true","Region",""
"[SetupValue__c]","US Southwest","","","","","true","Region",""
"[SetupValue__c]","Canada Eastern","","","","","true","Region",""
"[SetupValue__c]","Canada Western","","","","","true","Region",""
"[SetupValue__c]","South America","","","","","true","Region",""
"[SetupValue__c]","Asia","","","","","true","Region",""
"[SetupValue__c]","Africa","","","","","true","Region",""
"[SetupValue__c]","United Kingdom","","","","","true","Region",""
"[SetupValue__c]","Europe","","","","","true","Region",""
"[SetupValue__c]","South Pacific","","","","","true","Region",""
"[SetupValue__c]","Russia","","","","","true","Region",""
"[SetupValue__c]","Middle East","","","","","true","Region",""
"[SetupValue__c]","Other","","","","","true","Region",""
"[SetupValue__c]","Initial Deposit","","","","","true","ChargeType",""
"[SetupValue__c]","Second Deposit","","","","","true","ChargeType",""
"[SetupValue__c]","Third Deposit","","","","","true","ChargeType",""
"[SetupValue__c]","Final Deposit","","","","","true","ChargeType",""
"[SetupValue__c]","Additional Deposit","","","","","true","ChargeType",""
"[SetupValue__c]","Cash","","","","","true","PaymentType",""
"[SetupValue__c]","Check","","","","","true","PaymentType",""
"[SetupValue__c]","Credit Card","","","","","true","PaymentType",""
"[SetupValue__c]","Direct Bill","","","","","true","PaymentType",""
"[SetupValue__c]","Bank Transfer","","","","","true","PaymentType",""
"[SetupValue__c]","AMEX","","","","","true","CardType",""
"[SetupValue__c]","Discover","","","","","true","CardType",""
"[SetupValue__c]","MasterCard","","","","","true","CardType",""
"[SetupValue__c]","VISA","","","","","true","CardType",""
"[SetupValue__c]","Theatre","","","","","true","FunctionRoomSetup",""
"[SetupValue__c]","Location Change","","","","","true","ChangeLogType",""
"[SetupValue__c]","Citywide","","","","","true","DateCollectionCategory",""
"[SetupValue__c]","Milestone Hotel Events","","","","[Location__c]","true","DateCollectionCategory",""
"[SetupValue__c]","Lucky Wedding Day","","","","[Location__c]","true","DateCollectionCategory",""
"[SetupValue__c]","Template","","","","","true","DateCollectionCategory",